1999;     34;      1; gcc-2.95
2001;     45;      9; gcc-3.0
2002;     54;     11; gcc-3.1
2002;     54;     11; gcc-3.2
2003;     69;     27; gcc-3.3
2004;     77;     40; gcc-3.4.0
2005;    105;     66; gcc-4.0.0
2006;    115;     83; gcc-4.1.0
2007;    117;     89; gcc-4.2.0
2008;    137;    113; gcc-4.3.0
2009;    152;    124; gcc-4.4.0
2010;    171;    131; gcc-4.5.0
2011;    174;    143; gcc-4.6.0
2012;    175;    160; gcc-4.7.0
2013;    180;    169; gcc-4.8.0
2014;    181;    182; gcc-4.9.0
2015;    192;    195; gcc-5.1.0
2015;    192;    195; gcc-5.2.0
