gcc-2.95  , 1999,     34,      1
gcc-3.0   , 2001,     45,      9
gcc-3.1   , 2002,     54,     11
gcc-3.2   , 2002,     54,     11
gcc-3.3   , 2003,     69,     27
gcc-3.4.0 , 2004,     80,     40
gcc-4.0.0 , 2005,    108,     66
gcc-4.1.0 , 2006,    118,     83
gcc-4.2.0 , 2007,    120,     89
gcc-4.3.0 , 2008,    140,    113
gcc-4.4.0 , 2009,    156,    127
gcc-4.5.0 , 2010,    175,    134
gcc-4.6.0 , 2011,    179,    146
gcc-4.7.0 , 2012,    180,    163
gcc-4.8.0 , 2013,    186,    172
gcc-4.9.0 , 2014,    188,    185
gcc-5.1.0 , 2015,    200,    199
gcc-5.2.0 , 2015,    200,    199
